index,date_published,date_modified,source,sponsor,title
0,2020-08-28T09:16:47,2020-08-28T09:16:47,nrc,KPN,Taalvaardigheid zegt niks over je intelligentie
1,2020-08-07T09:07:57,2020-08-07T09:07:57,nrc,KPN,Het werd vanzelfsprekend om dagelijks te lezen hoe lelijk ik wel niet ben
2,2020-07-24T09:39:56,2020-07-24T09:39:56,nrc,KPN,Uit de kast komen als profvoetballer
3,2020-07-10T06:00:21,2020-07-10T06:00:21,nrc,KPN,Aan de vuile vaat kon ik zien of ik al gegeten had of niet
4,2020-06-24T17:20:34,2020-06-24T17:20:34,nrc,KPN,Als ik terugkijk heb ik me veel alleen gevoeld
5,2020-06-02T08:59:22,2020-06-02T08:59:22,nrc,KPN,Met mensen die dicht bij mij staan praat ik wel over mijn single-zijn
6,2020-06-02T08:59:10,2020-06-02T08:59:10,nrc,KPN,Ik had het gevoel dat ik niet openlijk over mijn burn-out kon spreken
7,2020-05-22T07:02:34,2020-05-22T07:02:34,nrc,KPN,Anorexia beheerste mijn leven
8,2020-11-05T13:38:07,2020-11-05T13:38:07,nrc,Vattenfall,Zo heeft de jeugd de (fossielvrije) toekomst
9,2020-10-07T12:40:47,2020-10-07T12:40:47,nrc,Vattenfall,Groen gas heeft toekomst
10,2020-09-14T07:52:04,2020-09-14T07:52:04,nrc,Vattenfall,Klimaatverandering: kun jij er wat aan doen?
11,2020-07-09T11:53:26,2020-07-09T11:53:26,nrc,Vattenfall,Een fossielvrije samenleving: is dat mogelijk?
12,2020-06-09T11:53:26,2020-06-09T11:53:26,nrc,Vattenfall,Zoek de zon op
13,2020-05-11T10:02:23,2020-05-11T10:02:23,nrc,Vattenfall,Het verhaal achter de energierekening
14,2020-04-14T11:01:43,2020-04-14T11:01:43,nrc,Vattenfall,Samen (veilig) bouwen aan de energietransitie
15,2019-11-05T12:46:58,2019-11-05T12:46:58,nrc,Vattenfall,Waarom warmtenetten de toekomst hebben
16,2019-10-10T13:53:06,2019-10-10T13:53:06,nrc,Vattenfall,Een windpark bouwen ook bij tegenwind
17,2019-10-09T08:34:54,2019-10-09T08:34:54,nrc,Vattenfall,Achter de schermen bij nieuwe Noordzee-windparken
18,2019-10-08T12:33:55,2019-10-08T12:33:55,nrc,Vattenfall,Dit moet je weten over warmtepompen
19,2019-10-07T12:01:02,2019-10-07T12:01:02,nrc,Vattenfall,Onderzoek: breed draagvlak voor aardgasvrije warmte
20,2019-09-04T09:29:23,2019-09-04T09:29:23,nrc,Vattenfall,Waarom stroomopslag steeds belangrijker wordt
21,2019-08-16T12:30:32,2019-08-16T12:30:32,nrc,Vattenfall,Zonnepanelen: juist nu een goede keuze
22,2019-07-09T12:31:50,2019-07-09T12:31:50,nrc,Vattenfall,Rijdt iedereen straks elektrisch?
23,2018-11-08T14:31:35,2018-11-08T14:31:35,nrc,Vattenfall,Zo ingrijpend verandert de energietransitie ons leven
24,2018-09-10T08:45:42,2018-09-10T08:45:42,nrc,Vattenfall,Altijd en overal duurzame energie
25,2018-07-23T13:34:48,2018-07-23T13:34:48,nrc,Vattenfall,Hoog rendement op verduurzamen van je huis
26,2018-06-28T11:23:00,2018-06-28T11:23:00,nrc,Vattenfall,Energiebesparing telt voor drie
27,2018-06-06T08:57:57,2018-06-06T08:57:57,nrc,Vattenfall,Deze impact hebben windparken op de zee
28,2018-05-08T18:29:33,2018-05-08T18:29:33,nrc,Vattenfall,Grote milieuwinst te halen bij verduurzamen dataverkeer
29,2018-04-05T09:13:17,2018-04-05T09:13:17,nrc,Vattenfall,Van afval naar duurzame warmte
30,2018-02-07T12:22:06,2018-02-07T12:22:06,nrc,Vattenfall,Elektrisch rijden: meer dan milieuwinst?
31,2018-01-12T14:32:37,2018-01-12T14:32:37,nrc,Vattenfall,Een groene toekomst: zijn we goed op weg?
32,2017-08-10T14:59:50,2017-08-10T14:59:50,nrc,Vattenfall,De energiecentrale van de toekomst
33,2017-08-07T08:26:28,2017-08-07T08:26:28,nrc,Vattenfall,Hoe lang rijdt een zonneauto zonder tanken?
34,2017-07-17T08:09:33,2017-07-17T08:09:33,nrc,Vattenfall,Zo wordt het water weer gezond (en blijven gebouwen koel)
35,2017-06-12T09:19:06,2017-06-12T09:19:06,nrc,Vattenfall,Hoe groen is groene stroom eigenlijk?
36,2017-05-12T14:22:46,2017-05-12T14:22:46,nrc,Vattenfall,Hoe windenergie steeds goedkoper kan worden
37,2018-02-22T15:43:09,2018-02-22T15:43:09,nrc,Thinketfs,De identiteitscrisis van de sparende Nederlander
38,2018-02-08T14:18:31,2018-02-08T14:18:31,nrc,Thinketfs,Passief beleggen: Ik hoef niet constant zenuwachtig naar de koersen te kijken
39,2018-02-01T15:55:29,2018-02-01T15:55:29,nrc,Thinketfs,De psychologie van beleggen: lessen van een Nobelprijswinnaar
