index,date_published,date_modified,source,sponsor,title
0,2020-09-07T19:51:44,2020-09-07T20:40:20,nrc,none,Evenement FvD stilgelegd om veiligheidsredenen geen aanhoudingen
1,2020-01-05T21:12:01,2020-01-05T21:12:01,nrc,none,Trump dreigt met disproportionele reactie op Iraanse aanval
2,2020-01-21T21:00:23,2020-01-21T21:00:23,nrc,none,Nieuw kabinet van Hassan Diab treedt aan in Libanon
3,2020-10-07T20:32:25,2020-10-07T20:32:25,nrc,none,Hoe groot is de Nederlandse besmettingshaard?
4,2020-01-15T21:39:47,2020-01-15T21:39:47,nrc,none,Vast staat dat een groot aantal varkens verdwijnt
5,2020-09-13T20:43:08,2020-09-13T20:43:08,nrc,none,Vluchtelingen op Lesbos al vier dagen bijna zonder eten 
6,2020-01-21T20:29:36,2020-01-21T20:29:36,nrc,none,Club van The Fresh Prince breidt uit
7,2020-08-21T19:00:05,2020-08-21T19:00:05,nrc,none,Schimmige procedures en vriendjespolitiek bij toewijzing nieuwbouwhuizen
8,2020-07-14T19:42:06,2020-07-14T19:42:06,nrc,none,Brazilie ontslaat opnieuw Amazone-wetenschapper
9,2020-10-07T19:44:28,2020-10-07T19:44:28,nrc,none,Minister Blok wil sancties tegen Rusland om vergiftiging Navalny
10,2020-11-23T21:08:34,2020-11-23T21:08:34,nrc,none,Turkije woedend over Duitse wapeninspectie op Turks vrachtschip
11,2020-08-12T20:36:59,2020-08-12T20:36:59,nrc,none,Veel geschikte mensen vallen nu af
12,2020-10-25T20:22:53,2020-10-25T20:22:53,nrc,none,Kabinet komt dinsdag met waarschuwing geen aanscherping
13,2020-01-11T14:42:07,2020-01-11T14:42:07,nrc,none,Migranten bij het Kanaal: Ze geven je een boot en dan zoek je het maar uit
14,2020-08-01T13:59:28,2020-08-01T13:59:28,nrc,none,Iran: leider opgepakt van oppositiegroep die opereert vanuit de VS
15,2020-11-20T19:05:27,2020-11-20T19:05:27,nrc,none,Vier gewonden bij aanvaring binnenvaartschip en pont in Amsterdam
16,2020-10-10T19:02:41,2020-10-10T19:02:41,nrc,none,Herfstvakantie: niet welkom over de grens te koud om te kamperen
17,2020-05-23T19:59:22,2020-05-23T19:59:22,nrc,none,Taliban en Afghaanse regering beloven tijdelijk staakt-het-vuren vanwege Suikerfeest
18,2020-02-17T21:29:52,2020-02-17T21:29:52,nrc,none,De ideale canon is een bewegende canon
19,2020-12-15T21:45:00,2020-12-15T21:45:00,nrc,none,Caribische student vaak in de knel
20,2020-09-21T21:29:21,2020-09-21T21:29:21,nrc,none,Beatrix Ruf weer actief in cultuursector
21,2020-04-05T19:24:57,2020-04-05T19:24:57,nrc,none,Haar leven in een sekte was best normaal dacht ze zelf
22,2020-05-04T19:57:55,2020-05-04T19:57:55,nrc,none,Het is niet dat we een keuze hebben
23,2020-09-21T20:06:11,2020-09-21T20:06:11,nrc,none,14 miljoen Belgen hebben geen werk en zoeken ook niet
24,2020-06-24T20:42:21,2020-06-24T20:42:21,nrc,none,FNV en CNV stoppen tot vrijdagmiddag met staken bij Tata Steel
25,2020-04-11T09:30:07,2020-04-11T09:30:07,nrc,none,Bette Westera en Sylvia Weve winnen Woutertje Pieterse Prijs
26,2020-02-22T22:17:10,2020-02-22T22:17:10,nrc,none,Duizenden betogers in Hanau de straat op voor protest tegen haat
27,2020-08-28T21:04:07,2020-08-28T21:04:07,nrc,none,Nertsenhouders ontevreden met 180 miljoen euro van het kabinet
28,2020-09-02T20:53:09,2020-09-02T20:53:09,nrc,none,Navalny vergiftigd met  novitsjok
29,2020-11-19T21:29:24,2020-11-19T21:29:24,nrc,none,Privacy-toezichthouder onderzoekt experimentele eenheid krijgsmacht
30,2020-01-21T20:57:25,2020-01-21T20:57:25,nrc,none,Advocate Allred: plaaggeest van  de foute machtige man
31,2020-03-11T21:00:01,2020-03-11T21:00:01,nrc,none,Wat als er er over dertig jaar 19 miljoen mensen in Nederland wonen?
32,2020-04-10T18:42:06,2020-04-10T18:42:06,nrc,none,Corona verandert Big Tech in Good Tech  voor eventjes
33,2020-09-02T19:23:23,2020-09-02T19:23:23,nrc,none,Kardinaal Simonis was consequent orthodox in de leer
34,2020-06-17T20:41:50,2020-06-17T20:41:50,nrc,none,Noodweer teistert Nederland vrouw omgekomen door omgevallen boom
35,2020-02-22T18:22:45,2020-02-22T18:22:45,nrc,none,Romeinen mijden hun Chinatown - en de Chinezen zelf zijn ook voorzichtig
36,2020-09-12T21:16:12,2020-09-12T21:16:12,nrc,none,Gouden Leeuw-winnaar Nomadland: een inspirerende ode aan de Amerikaanse geest
37,2020-12-11T21:21:44,2020-12-11T21:21:44,nrc,none,Toezichthouder VS door Witte Huis onder druk gezet om vaccin goed te keuren
38,2020-05-05T20:24:13,2020-05-05T20:24:13,nrc,none,Als coronapatient op haar eigen intensive care vreesde ze de dood
