catagory,word,score
editorial,lees,-1.802813743744436
editorial,crowdfunding,-1.5350118683294816
editorial,zegt,-1.5102640880243374
editorial,donderdag,-1.4671253702651537
editorial,week,-1.4557663069748608
editorial,artikel,-1.4053384247229337
editorial,laat,-1.4036076481106585
editorial,schrijft,-1.3353640882268842
editorial,man,-1.259733604404178
editorial,verscheen,-1.1661956085762004
editorial,mei,-1.130754044459557
editorial,versie,-1.0890047798051075
editorial,instagram,-1.0299799729898964
editorial,vandaag,-1.0082637173955307
editorial,kabinet,-1.003747021531207
editorial,facebook,-0.9996615921599141
editorial,minister,-0.9973511242978969
editorial,kritiek,-0.9708714483401851
editorial,vorig,-0.9560029214240096
editorial,maart,-0.9465428797776316
editorial,dollar,-0.9234164628024691
editorial,woordvoerder,-0.9199579131606004
editorial,studenten,-0.9074451189824119
editorial,linkedin,-0.9005606842316183
editorial,vrijdag,-0.888213750333881
editorial,woensdag,-0.8760972344883444
editorial,president,-0.8394177933191266
editorial,werknemer,-0.8298532180348491
editorial,coronavirus,-0.8203729776000287
editorial,miljard,-0.800649511970694
editorial,jarige,-0.794318992923087
editorial,mensen,-0.7786751285706217
editorial,meldt,-0.7693803194793916
editorial,verdachte,-0.7691405750601665
editorial,doelgroep,-0.7685941049514607
editorial,gemeente,-0.7677279751553807
editorial,aangehouden,-0.7502068681495523
editorial,nieuwsbrief,-0.746561268699935
editorial,boek,-0.7352924404910077
editorial,sociale,-0.7317678784314485
editorial,rotterdam,-0.7233877016998678
editorial,ministerie,-0.7189541799875983
editorial,maatregelen,-0.7149373147225002
editorial,zeggen,-0.7128054001816521
editorial,mening,-0.7115354707950811
editorial,prins,-0.7071013106747406
editorial,euro,-0.702431872151565
editorial,makkelijke,-0.692701791187168
editorial,regels,-0.6893542007527035
editorial,bleek,-0.6802611646440677
editorial,aftersales,-0.6768301289639472
editorial,totaal,-0.6691450767712583
editorial,hogeschool,-0.6631207419436365
editorial,belgische,-0.6629698191275321
editorial,brandweer,-0.6611417936662102
editorial,eindhoven,-0.657030505385487
editorial,speelde,-0.6496234006403617
editorial,foto,-0.6495968389687485
editorial,bekend,-0.6486829593565421
editorial,presentator,-0.6416465935500287
editorial,verdachten,-0.6330019865213252
editorial,verkopen,-0.6325268704855644
editorial,jarig,-0.6290894880454927
editorial,februari,-0.627464247065563
editorial,verdienen,-0.6241671911314708
editorial,piet,-0.6241201983957576
editorial,melk,-0.6238576495363543
editorial,gewerkt,-0.6201281717121733
editorial,jagen,-0.6164903675140816
editorial,michiel,-0.6138647792373747
editorial,vriendin,-0.6113205780285708
editorial,blog,-0.6092743957273722
editorial,avg,-0.6072456716991464
editorial,dood,-0.6032357938675167
editorial,lockdown,-0.6026615240035205
editorial,handelsblad,-0.6018995063110449
editorial,augustus,-0.5947082935198162
editorial,next,-0.5929438543544454
editorial,film,-0.5924297891743541
editorial,collega,-0.5907608133033427
editorial,verkopers,-0.5903177169822925
editorial,betrokken,-0.5887548653470074
editorial,rechter,-0.587113480253139
editorial,spaanse,-0.5868425539304408
editorial,balkon,-0.5867748707929048
editorial,partij,-0.5858426263998621
editorial,juli,-0.584623114383622
editorial,reactie,-0.5818034602646575
editorial,harry,-0.5808192434472759
editorial,school,-0.5786063470855578
editorial,beleid,-0.577795891843937
editorial,hacker,-0.5760322580220668
editorial,ronde,-0.5755673667389455
editorial,ecb,-0.5738531072143873
editorial,gewonnen,-0.5724502213464314
editorial,april,-0.5723447422715299
editorial,barcelona,-0.5717884139790428
editorial,premier,-0.5699328060486113
editorial,cursus,-0.568456257448523
editorial,fans,-0.5671022413777493
editorial,gemaakte,-0.56460773304816
